
中央频道,#genre#
央视主干|歌华+梅州
CCTV1,http://hls.yun.gehua.net.cn:8088/live/CCTV1HD_6000.m3u8
CCTV2,http://hls.yun.gehua.net.cn:8088/live/CCTV2HD_6000.m3u8
CCTV3,http://hls.yun.gehua.net.cn:8088/live/CCTV3HD_6000.m3u8
CCTV4,http://hls.yun.gehua.net.cn:8088/live/CCTV4HD_6000.m3u8
CCTV5,http://hls.yun.gehua.net.cn:8088/live/CCTV5HD_6000.m3u8
CCTV6,http://hls.yun.gehua.net.cn:8088/live/CCTV6HD_6000.m3u8
CCTV7,http://hls.yun.gehua.net.cn:8088/live/CCTV7HD_6000.m3u8
CCTV8,http://hls.yun.gehua.net.cn:8088/live/CCTV8HD_6000.m3u8
CCTV9,http://hls.yun.gehua.net.cn:8088/live/CCTV9HD_6000.m3u8
CCTV10,http://hls.yun.gehua.net.cn:8088/live/CCTV10HD_6000.m3u8
CCTV11,http://fyld.eatuo.com:9901/tsfile/live/1029_1.m3u8
CCTV12,http://hls.yun.gehua.net.cn:8088/live/CCTV12HD_6000.m3u8
CCTV13,http://36.109.192.194:9901/tsfile/live/0013_1.m3u8?
CCTV14,http://hls.yun.gehua.net.cn:8088/live/CCTV14HD_6000.m3u8
CCTV15,http://hls.yun.gehua.net.cn:8088/live/CCTV16HD_6000.m3u8
CCTV16,http://hls.yun.gehua.net.cn:8088/live/CCTV16HD_6000.m3u8
CCTV17,http://hls.yun.gehua.net.cn:8088/live/CCTV17HD_6000.m3u8
CCTV5+,http://hls.yun.gehua.net.cn:8088/live/CCTV5plusHD_6000.m3u8
CGTN,http://222.217.230.46:8181/tsfile/live/1082_1.m3u8
CGTN,http://171.110.10.77:8181/tsfile/live/1087_1.m3u8
CGTN,http://220.182.45.198:20088/tsfile/live/1010_1.m3u8
CGTNDocumentary,http://222.217.230.46:8181/tsfile/live/1083_1.m3u8
CCTV4K,http://liveop.cctv.cn/hls/4KHD/playlist.m3u8?zzhongd
兵器科技,http://171.110.10.77:8181/tsfile/live/1098_1.m3u8
电视指南,http://171.110.10.77:8181/tsfile/live/1099_1.m3u8
风云足球,http://171.110.10.77:8181/tsfile/live/1100_1.m3u8
央视台球,http://171.110.10.77:8181/tsfile/live/1101_1.m3u8
高尔夫网球,http://171.110.10.77:8181/tsfile/live/1102_1.m3u8
女性时尚,http://171.110.10.77:8181/tsfile/live/1103_1.m3u8
世界地理,http://171.110.10.77:8181/tsfile/live/1104_1.m3u8
怀旧剧场,http://171.110.10.77:8181/tsfile/live/1105_1.m3u8
风云剧场,http://171.110.10.77:8181/tsfile/live/1106_1.m3u8
第一剧场,http://171.110.10.77:8181/tsfile/live/1108_1.m3u8
文化精品,http://171.110.10.77:8181/tsfile/live/1107_1.m3u8
风云音乐,http://171.110.10.77:8181/tsfile/live/1110_1.m3u8


CCTV1,http://39.134.32.102:6610/270000001111/1110000301/index.m3u8?IASHttpSessionId=OTT
CCTV2,http://39.134.32.102:6610/270000001111/1110000302/index.m3u8?IASHttpSessionId=OTT
CCTV3,http://39.134.32.102:6610/270000001111/1110000303/index.m3u8?IASHttpSessionId=OTT
CCTV5,http://39.134.32.102:6610/270000001111/1110000305/index.m3u8?IASHttpSessionId=OTT
CCTV6,http://39.134.32.102:6610/270000001111/1110000307/index.m3u8?IASHttpSessionId=OTT
CCTV8,http://39.134.32.102:6610/270000001111/1110000309/index.m3u8?IASHttpSessionId=OTT
CCTV17,http://39.134.32.102:6610/270000001111/1110000391/index.m3u8?IASHttpSessionId=OTT
CCTV5+,http://39.134.32.102:6610/270000001111/1110000306/index.m3u8?IASHttpSessionId=OTT

央视|广西玉林电信
CCTV1,http://222.217.230.46:8181/tsfile/live/0001_1.m3u8
CCTV2,http://222.217.230.46:8181/tsfile/live/0002_1.m3u8
CCTV3,http://222.217.230.46:8181/tsfile/live/0003_1.m3u8
CCTV4,http://222.217.230.46:8181/tsfile/live/0004_1.m3u8
CCTV5,http://222.217.230.46:8181/tsfile/live/0005_1.m3u8
CCTV6,http://222.217.230.46:8181/tsfile/live/0006_1.m3u8
CCTV7,http://222.217.230.46:8181/tsfile/live/0007_1.m3u8
CCTV8,http://222.217.230.46:8181/tsfile/live/0008_1.m3u8
CCTV9,http://222.217.230.46:8181/tsfile/live/0009_1.m3u8
CCTV10,http://222.217.230.46:8181/tsfile/live/0010_1.m3u8
CCTV11,http://222.217.230.46:8181/tsfile/live/0011_1.m3u8
CCTV12,http://222.217.230.46:8181/tsfile/live/0012_1.m3u8
CCTV13,http://222.217.230.46:8181/tsfile/live/1052_1.m3u8
CCTV14,http://222.217.230.46:8181/tsfile/live/0014_1.m3u8
CCTV15,http://222.217.230.46:8181/tsfile/live/0015_1.m3u8
CCTV16,http://222.217.230.46:8181/tsfile/live/1014_1.m3u8
CCTV17,http://222.217.230.46:8181/tsfile/live/1041_1.m3u8
CCTV5+,http://222.217.230.46:8181/tsfile/live/1020_1.m3u8

CCTV1,http://116.11.155.129:8181/tsfile/live/0001_1.m3u8
CCTV1,http://116.11.155.129:8181/tsfile/live/0131_1.m3u8
CCTV2,http://116.11.155.129:8181/tsfile/live/0002_1.m3u8
CCTV3,http://116.11.155.129:8181/tsfile/live/0003_1.m3u8
CCTV6,http://116.11.155.129:8181/tsfile/live/0006_1.m3u8
CCTV7,http://116.11.155.129:8181/tsfile/live/0007_1.m3u8
CCTV8,http://116.11.155.129:8181/tsfile/live/0008_1.m3u8
CCTV9,http://116.11.155.129:8181/tsfile/live/0009_1.m3u8
CCTV10,http://116.11.155.129:8181/tsfile/live/0010_1.m3u8
CCTV12,http://116.11.155.129:8181/tsfile/live/0012_1.m3u8
CCTV14,http://116.11.155.129:8181/tsfile/live/0014_1.m3u8
CCTV15,http://116.11.155.129:8181/tsfile/live/0015_1.m3u8
CCTV16,http://116.11.155.129:8181/tsfile/live/1003_1.m3u8
CCTV17,http://116.11.155.129:8181/tsfile/live/0019_1.m3u8
CCTV5+,http://116.11.155.129:8181/tsfile/live/0016_1.m3u8



央视|福建泉州电信
CCTV1,http://110.81.206.138:50080/tsfile/live/1000_1.m3u8
CCTV2,http://110.81.206.138:50080/tsfile/live/1001_1.m3u8
CCTV3,http://110.81.206.138:50080/tsfile/live/1002_1.m3u8
CCTV4,http://110.81.206.138:50080/tsfile/live/1003_1.m3u8
CCTV5,http://110.81.206.138:50080/tsfile/live/1004_1.m3u8
CCTV5+,http://110.81.206.138:50080/tsfile/live/1005_1.m3u8
CCTV6,http://110.81.206.138:50080/tsfile/live/1006_1.m3u8
CCTV7,http://110.81.206.138:50080/tsfile/live/1007_1.m3u8
CCTV8,http://110.81.206.138:50080/tsfile/live/1008_1.m3u8
CCTV9,http://110.81.206.138:50080/tsfile/live/1009_1.m3u8
CCTV10,http://110.81.206.138:50080/tsfile/live/1010_1.m3u8
CCTV11,http://110.81.206.138:50080/tsfile/live/1011_1.m3u8
CCTV12,http://110.81.206.138:50080/tsfile/live/1012_1.m3u8
CCTV13,http://110.81.206.138:50080/tsfile/live/1013_1.m3u8
CCTV14,http://110.81.206.138:50080/tsfile/live/1014_1.m3u8
CCTV15,http://110.81.206.138:50080/tsfile/live/1015_1.m3u8

央视|北京电信
CCTV1,http://124.126.5.153:9901/tsfile/live/1001_1.m3u8
CCTV2,http://124.126.5.153:9901/tsfile/live/1002_1.m3u8
CCTV3,http://124.126.5.153:9901/tsfile/live/1003_1.m3u8
CCTV4,http://124.126.5.153:9901/tsfile/live/1004_1.m3u8
CCTV5,http://124.126.5.153:9901/tsfile/live/1005_1.m3u8
CCTV6,http://124.126.5.153:9901/tsfile/live/1006_1.m3u8
CCTV7,http://124.126.5.153:9901/tsfile/live/1007_1.m3u8
CCTV8,http://124.126.5.153:9901/tsfile/live/1008_1.m3u8
CCTV9,http://124.126.5.153:9901/tsfile/live/1009_1.m3u8
CCTV10,http://124.126.5.153:9901/tsfile/live/1010_1.m3u8
CCTV11,http://124.126.5.153:9901/tsfile/live/1011_1.m3u8
CCTV12,http://124.126.5.153:9901/tsfile/live/1012_1.m3u8
CCTV13,http://124.126.5.153:9901/tsfile/live/1013_1.m3u8
CCTV14,http://124.126.5.153:9901/tsfile/live/1014_1.m3u8
CCTV15,http://124.126.5.153:9901/tsfile/live/1015_1.m3u8
CCTV17,http://124.126.5.153:9901/tsfile/live/1016_1.m3u8

央视|四川联通
CCTV1,http://119.4.182.186:9901/tsfile/live/0001_1.m3u8
CCTV2,http://119.4.182.186:9901/tsfile/live/0002_1.m3u8
CCTV3,http://119.4.182.186:9901/tsfile/live/0003_1.m3u8
CCTV4,http://119.4.182.186:9901/tsfile/live/0004_1.m3u8
CCTV5,http://119.4.182.186:9901/tsfile/live/0005_1.m3u8
CCTV6,http://119.4.182.186:9901/tsfile/live/0006_1.m3u8
CCTV7,http://119.4.182.186:9901/tsfile/live/0007_1.m3u8
CCTV8,http://119.4.182.186:9901/tsfile/live/0008_1.m3u8
CCTV9,http://119.4.182.186:9901/tsfile/live/0009_1.m3u8
CCTV11,http://119.4.182.186:9901/tsfile/live/0011_1.m3u8
CCTV10,http://119.4.182.186:9901/tsfile/live/0010_1.m3u8
CCTV12,http://119.4.182.186:9901/tsfile/live/0012_1.m3u8
CCTV13,http://119.4.182.186:9901/tsfile/live/0013_1.m3u8
CCTV14,http://119.4.182.186:9901/tsfile/live/0014_1.m3u8
CCTV15,http://119.4.182.186:9901/tsfile/live/0015_1.m3u8
CCTV5+,http://119.4.182.186:9901/tsfile/live/0016_1.m3u8



央视|山西茁壮
